"Position","Name","Type","Signal","Label"
"A1","PE3","Output","GPIO_Output","ARD_D7_GPIO"
"A2","PE2","I/O","QUADSPI_BK1_IO2","QSPI_D2 [MX25L51245G_SIO2]"
"A3","PE1","I/O","FMC_NBL1","PSRAM_NBL1 [IS66WV51216EBLL_UB]"
"A4","PE0","I/O","FMC_NBL0","PSRAM_NBL0 [IS66WV51216EBLL_LB]"
"A5","PB8","I/O","I2C1_SCL","SAI2_I2C1_SCL [WM8994ECS/R_SCLK]"
"A6","PB5","I/O","SPI1_MOSI","ARD_D11_TIM3_CH2_SPI1_MOSI"
"A7","PG14","Output","GPIO_Output","WIFI_RST"
"A8","PG13","Output","GPIO_Output","WIFI_GPIO_0"
"A9","PB4","I/O","SPI1_MISO","ARD_D12_SPI1_MISO"
"A10","PB3","I/O","SYS_JTDO-SWO","SYS_STLINK_JTDO_SWO"
"A11","PD7","I/O","FMC_NE1","PSRAM_NE1 [IS66WV51216EBLL_CS1]"
"A12","PC12","I/O","UART5_TX","UART_TXD_WIFI_RX"
"A13","PA15","I/O","TIM2_CH1","STMOD+_TIM2_CH1_2_ETR"
"A14","PA14","I/O","SYS_JTCK-SWCLK",""
"A15","PA13","I/O","SYS_JTMS-SWDIO",""
"B1","PE4","Output","GPIO_Output","ARD_D8_GPIO"
"B2","PE5","I/O","TIM9_CH1","ARD_D3_TIM9_CH1"
"B3","PE6","I/O","TIM9_CH2","ARD_D6_TIM9_CH2"
"B4","PB9","I/O","I2C1_SDA","SAI2_I2C1_SDA [WM8994ECS_SDA]"
"B5","PB7","I/O","FMC_NL","NC1"
"B6","PB6","I/O","QUADSPI_BK1_NCS","QSPI_NCS [MX25L51245G_CS]"
"B7","PG15","I/O","GPIO_EXTI15","SAI2_INT [WM8994ECS_GPIO1]"
"B8","PG12","Output","GPIO_Output","PMOD_GPIO_0"
"B9","PG11","I/O","",""
"B10","PG10","I/O","SAI2_SD_B","SAI2_SD_B [SAI2_SD_B_ADCDAT1]"
"B11","PD6","Output","GPIO_Output","WIFI_GPIO_2"
"B12","PD0","I/O","FMC_D2","LCD_PSRAM_D2"
"B13","PC11","Output","GPIO_Output","STMOD_UART4_RXD_s"
"B14","PC10","I/O","QUADSPI_BK1_IO1","QSPI_D1 [MX25L51245G_SIO1]"
"B15","PA12","I/O","USB_OTG_FS_DP",""
"C1","VBAT","Power","",""
"C2","PI7","I/O","SAI2_FS_A","SAI2_FS_A [WM8994ECS_LRCLK1]"
"C3","PI6","I/O","SAI2_SD_A","SAI2_SD_A [WM8994ECS_DACDAT1]"
"C4","PI5","I/O","SAI2_SCK_A","SAI2_SCK_A [WM8994ECS_BCLK1]"
"C5","VDD","Power","",""
"C6","PDR_ON","Reset","",""
"C7","VDD","Power","",""
"C8","VDDSDMMC","Power","",""
"C9","VDD","Power","",""
"C10","PG9","I/O","FMC_NE2","LCD_NE [FRD154BP2902_NCS]"
"C11","PD5","I/O","FMC_NWE","LCD_PSRAM_NWE [FRD154BP2902_NWR] [IS66WV51216EBLL_NWE]"
"C12","PD1","I/O","FMC_D3","LCD_PSRAM_D3"
"C13","PI3","Output","GPIO_Output","PMOD_SPI2_MOSI"
"C14","PI2","Output","GPIO_Output","PMOD_SPI2_MISO"
"C15","PA11","I/O","USB_OTG_FS_DM",""
"D1","PC13","I/O","",""
"D2","PI8","I/O","",""
"D3","PI9","I/O","GPIO_EXTI9","CTP_INT"
"D4","PI4","I/O","SAI2_MCLK_A","SAI2_MCLK_A [WM8994ECS_MCLK1]"
"D5","VSS","Power","",""
"D6","BOOT0","Boot","",""
"D7","VSS","Power","",""
"D8","VSS","Power","",""
"D9","VSS","Power","",""
"D10","PD4","I/O","FMC_NOE","LCD_PSRAM_NOE [FRD154BP2902_NRD] [IS66WV51216EBLL_NOE]"
"D11","PD3","Output","GPIO_Output","WIFI_CH_PD"
"D12","PD2","I/O","UART5_RX","UART_RXD_WIFI_TX"
"D13","PH15","Output","GPIO_Output","PMOD_SEL_0"
"D14","PI1","I/O","SPI2_SCK","PMOD_SPI2_SCK"
"D15","PA10","Output","GPIO_Output","USB_OTG_FS_ID"
"E1","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"E2","PF0","I/O","FMC_A0","LCD_PSRAM_A0 [FRD154BP2902_RS] [IS66WV51216EBLL_A0]"
"E3","PI10","Output","GPIO_Output",""
"E4","PI11","I/O","",""
"E12","PH13","I/O","UART4_TX","STMOD_UART4_TXD"
"E13","PH14","I/O","UART4_RX","STMOD_UART4_RXD"
"E14","PI0","I/O","SPI2_NSS","PMOD_SPI2_NSS"
"E15","PA9","I/O","USB_OTG_FS_VBUS",""
"F1","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"F2","VSS","Power","",""
"F3","VDD","Power","",""
"F4","PH2","Output","GPIO_Output","PMOD_GPIO_1"
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VSS","Power","",""
"F9","VSS","Power","",""
"F10","VSS","Power","",""
"F12","VSS","Power","",""
"F13","VCAP_2","Power","",""
"F14","PC9","I/O","QUADSPI_BK1_IO0","QSPI_D0 [MX25L51245G_SIO0]"
"F15","PA8","I/O","I2C3_SCL","CTP_SCL"
"G1","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"G2","VSS","Power","",""
"G3","VDD","Power","",""
"G4","PH3","Output","GPIO_Output","ARD_D4_GPIO"
"G6","VSS","Power","",""
"G7","VSS","Power","",""
"G8","VSS","Power","",""
"G9","VSS","Power","",""
"G10","VSS","Power","",""
"G12","VSS","Power","",""
"G13","VDD","Power","",""
"G14","PC8","I/O","GPIO_EXTI8","LCD_TE_INT"
"G15","PC7","I/O","USART6_RX","VCP_RX [STM32F103CBT6_PA2]"
"H1","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"H2","PF2","I/O","FMC_A2","PSRAM_A2"
"H3","PF1","I/O","FMC_A1","PSRAM_A1"
"H4","PH4","I/O","I2C2_SCL","ARD_D15_STMOD_I2C2_SCL"
"H6","VSS","Power","",""
"H7","VSS","Power","",""
"H8","VSS","Power","",""
"H9","VSS","Power","",""
"H10","VSS","Power","",""
"H12","VSS","Power","",""
"H13","VDDUSB","Power","",""
"H14","PG8","Output","GPIO_Output","USB_OTGFS_PPWR_EN"
"H15","PC6","I/O","USART6_TX","VCP_TX [STM32F103CBT6_PA3]"
"J1","NRST","Reset","",""
"J2","PF3","I/O","FMC_A3","PSRAM_A3"
"J3","PF4","I/O","FMC_A4","PSRAM_A4"
"J4","PH5","I/O","I2C2_SDA","ARD_D14_STMOD_I2C2_SDA"
"J6","VSS","Power","",""
"J7","VSS","Power","",""
"J8","VSS","Power","",""
"J9","VSS","Power","",""
"J10","VSS","Power","",""
"J12","VDD","Power","",""
"J13","VDD","Power","",""
"J14","V12PHYHS","Power","",""
"J15","REXTPHYHS","MonoIO","USB_OTG_HS_REXTPHYHS","REXT_OTGPHY"
"K1","PF7","I/O","UART7_TX","PMOD_UART7_TXD"
"K2","PF6","I/O","UART7_RX","PMOD_UART7_RXD"
"K3","PF5","I/O","FMC_A5","PSRAM_A5"
"K4","VDD","Power","",""
"K6","VSS","Power","",""
"K7","VSS","Power","",""
"K8","VSS","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
"K12","PH12","Output","GPIO_Output","USB_OTGHS_PPWR_EN"
"K13","PG5","I/O","FMC_A15","PSRAM_A15"
"K14","PG4","I/O","FMC_A14","PSRAM_A14"
"K15","PG3","I/O","FMC_A13","PSRAM_A13"
"L1","PF10","I/O","ADC3_IN8","ARD_A3_ADC3_IN8"
"L2","PF9","I/O","UART7_CTS","PMOD_UART7_CTS"
"L3","PF8","I/O","UART7_RTS","PMOD_UART7_RTS"
"L4","BYPASS_REG","Reset","",""
"L12","PH11","I/O","TIM5_CH2","LCD_BL [STLD40DPUR_EN]"
"L13","PH10","Input","GPIO_Input","USB_OTGHS_OVCR_INT"
"L14","PD15","I/O","FMC_D1","LCD_PSRAM_D1"
"L15","PG2","I/O","FMC_A12","PSRAM_A12"
"M1","VSSA","Power","",""
"M2","PC0","I/O","ADC2_IN10 ADC1_IN10","ARD_A4"
"M3","PC1","I/O","ADC2_IN11 ADC1_IN11","ARD_A5"
"M4","PC2","I/O","SPI2_MISO","STMOD_SPI2_MISOs"
"M5","PC3","I/O","SPI2_MOSI","STMOD+_SPI2_MOSIs"
"M6","PB2","I/O","QUADSPI_CLK","QSPI_CLK [MX25L51245G_SCLK]"
"M7","PG1","I/O","FMC_A11","PSRAM_A11"
"M8","VSS","Power","",""
"M9","VSS","Power","",""
"M10","VCAP_1","Power","",""
"M11","PH6","I/O","TIM12_CH1","ARD_D9_TIM12_CH1"
"M12","PH8","I/O","I2C3_SDA","CTP_SDA"
"M13","PH9","Output","GPIO_Output","CTP_RST"
"M14","PD14","I/O","FMC_D0","LCD_PSRAM_D0"
"M15","PD13","I/O","QUADSPI_BK1_IO3","QSPI_D3 [MX25L51245G_SIO3]"
"N1","VREF-","Power","",""
"N2","PA1","I/O","TIM2_CH2","ARD_D10_TIM2_CH2_SPI1_NSS"
"N3","PA0-WKUP","I/O","SYS_WKUP1","SYS_B_User"
"N4","PA4","I/O","ADC2_IN4 ADC1_IN4","ARD_A1"
"N5","PC4","I/O","ADC2_IN14 ADC1_IN14","ARD_A2"
"N6","PF13","I/O","FMC_A7","PSRAM_A7"
"N7","PG0","I/O","FMC_A10","PSRAM_A10"
"N8","VDD","Power","",""
"N9","VDD","Power","",""
"N10","VDD","Power","",""
"N11","PE13","I/O","FMC_D10","LCD_PSRAM_D10"
"N12","PH7","Output","GPIO_Output","LCD_RST"
"N13","PD12","I/O","FMC_A17","PSRAM_A17"
"N14","PD11","I/O","FMC_A16","PSRAM_A16"
"N15","PD10","I/O","FMC_D15","LCD_PSRAM_D15"
"P1","VREF+","Power","",""
"P2","PA2","I/O","USART2_TX","ARD_D1_USART2_TX"
"P3","PA6","I/O","ADC2_IN6 ADC1_IN6","ARD_A0"
"P4","PA5","I/O","SPI1_SCK","ARD_D13_SPI1_SCK"
"P5","PC5","Output","GPIO_Output","ARD_D2_GPIO"
"P6","PF12","I/O","FMC_A6","PSRAM_A6"
"P7","PF15","I/O","FMC_A9","PSRAM_A9"
"P8","PE8","I/O","FMC_D5","LCD_PSRAM_D5"
"P9","PE9","I/O","FMC_D6","LCD_PSRAM_D6"
"P10","PE11","I/O","FMC_D8","LCD_PSRAM_D8"
"P11","PE14","I/O","FMC_D11","LCD_PSRAM_D11"
"P12","PB12","Output","GPIO_Output","USB_OTG_HS_ID"
"P13","PB13","I/O","GPIO_EXTI13","USB_OTG_HS_VBUS"
"P14","PD9","I/O","FMC_D14","LCD_PSRAM_D14"
"P15","PD8","I/O","FMC_D13","LCD_PSRAM_D13"
"R1","VDDA","Power","",""
"R2","PA3","I/O","USART2_RX","ARD_D0_USART2_RX"
"R3","PA7","Output","GPIO_Output","SYS_LD_USER1"
"R4","PB1","Output","GPIO_Output","SYS_LD_USER2"
"R5","PB0","I/O","TIM3_CH3","ARD_D5_STMOD_TIM3_CH3"
"R6","PF11","Input","GPIO_Input","PMOD_RESET"
"R7","PF14","I/O","FMC_A8","PSRAM_A8"
"R8","PE7","I/O","FMC_D4","LCD_PSRAM_D4"
"R9","PE10","I/O","FMC_D7","LCD_PSRAM_D7"
"R10","PE12","I/O","FMC_D9","LCD_PSRAM_D9"
"R11","PE15","I/O","FMC_D12","LCD_PSRAM_D12"
"R12","PB10","I/O","GPIO_EXTI10","USB_OTGFS_OVCR_INT"
"R13","PB11","I/O","GPIO_EXTI11","PMOD_INT"
"R14","PB14","I/O","USB_OTG_HS_DM",""
"R15","PB15","I/O","USB_OTG_HS_DP",""
