"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"A1","PE3","Output","GPIO_Output","ARD_D7_GPIO","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19"
"A2","PE2","I/O","QUADSPI_BK1_IO2","QSPI_D2 [MX25L51245G_SIO2]","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","","FMC_A23"
"A3","PE1","I/O","FMC_NBL1","PSRAM_NBL1 [IS66WV51216EBLL_UB]","","","","LPTIM1_IN2","","","","","UART8_TX","","","","FMC_NBL1"
"A4","PE0","I/O","FMC_NBL0","PSRAM_NBL0 [IS66WV51216EBLL_LB]","","","TIM4_ETR","LPTIM1_ETR","","","","","UART8_RX","","SAI2_MCLK_A","","FMC_NBL0"
"A5","PB8","I/O","I2C1_SCL","SAI2_I2C1_SCL [WM8994ECS/R_SCLK]","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","SDMMC2_D4","","SDMMC1_D4"
"A6","PB5","I/O","SPI1_MOSI","ARD_D11_TIM3_CH2_SPI1_MOSI","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","","FMC_SDCKE1"
"A7","PG14","Output","GPIO_Output","WIFI_RST","SYS_TRACED1","","","LPTIM1_ETR","","","","","USART6_TX","QUADSPI_BK2_IO3","","","FMC_A25"
"A8","PG13","Output","GPIO_Output","WIFI_GPIO_0","SYS_TRACED0","","","LPTIM1_OUT","","","","","USART6_CTS","","","","FMC_A24"
"A9","PB4","I/O","SPI1_MISO","ARD_D12_SPI1_MISO","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","","","SDMMC2_D3","",""
"A10","PB3","I/O","SYS_JTDO-SWO","SYS_STLINK_JTDO_SWO","SYS_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","","","SDMMC2_D2","",""
"A11","PD7","I/O","FMC_NE1","PSRAM_NE1 [IS66WV51216EBLL_CS1]","","","","","","","","USART2_CK","","","","SDMMC2_CMD","FMC_NE1"
"A12","PC12","I/O","UART5_TX","UART_TXD_WIFI_RX","SYS_TRACED3","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK"
"A13","PA15","I/O","TIM2_CH1","STMOD+_TIM2_CH1_2_ETR","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","UART4_DE/UART4_RTS","","","",""
"A14","PA14","I/O","SYS_JTCK-SWCLK","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"A15","PA13","I/O","SYS_JTMS-SWDIO","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"B1","PE4","Output","GPIO_Output","ARD_D8_GPIO","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20"
"B2","PE5","I/O","TIM9_CH1","ARD_D3_TIM9_CH1","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21"
"B3","PE6","I/O","TIM9_CH2","ARD_D6_TIM9_CH2","SYS_TRACED3","TIM1_BKIN2","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","SAI2_MCLK_B","","FMC_A22"
"B4","PB9","I/O","I2C1_SDA","SAI2_I2C1_SDA [WM8994ECS_SDA]","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","SDMMC2_D5","","SDMMC1_D5"
"B5","PB7","I/O","FMC_NL","NC1","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FMC_NL"
"B6","PB6","I/O","QUADSPI_BK1_NCS","QSPI_NCS [MX25L51245G_CS]","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","QUADSPI_BK1_NCS","","FMC_SDNE1"
"B7","PG15","I/O","GPIO_EXTI15","SAI2_INT [WM8994ECS_GPIO1]","","","","","","","","","USART6_CTS","","","","FMC_SDNCAS"
"B8","PG12","Output","GPIO_Output","PMOD_GPIO_0","","","","LPTIM1_IN1","","","","","USART6_DE/USART6_RTS","","","SDMMC2_D3","FMC_NE4"
"B9","PG11","I/O","","","","","","","","","","","","","SDMMC2_D2","","FMC_INT"
"B10","PG10","I/O","SAI2_SD_B","SAI2_SD_B [SAI2_SD_B_ADCDAT1]","","","","","","","","","","","SAI2_SD_B","SDMMC2_D1","FMC_NE3"
"B11","PD6","Output","GPIO_Output","WIFI_GPIO_2","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","SDMMC2_CK","FMC_NWAIT"
"B12","PD0","I/O","FMC_D2","LCD_PSRAM_D2","","","","","","","","","","CAN1_RX","","","FMC_D2/FMC_DA2"
"B13","PC11","Output","GPIO_Output","STMOD_UART4_RXD_s","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDMMC1_D3"
"B14","PC10","I/O","QUADSPI_BK1_IO1","QSPI_D1 [MX25L51245G_SIO1]","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDMMC1_D2"
"B15","PA12","I/O","USB_OTG_FS_DP","","","TIM1_ETR","","","","","","USART1_DE/USART1_RTS","SAI2_FS_B","CAN1_TX","USB_OTG_FS_DP","",""
"C1","VBAT","Power","","","","","","","","","","","","","","",""
"C2","PI7","I/O","SAI2_FS_A","SAI2_FS_A [WM8994ECS_LRCLK1]","","","","TIM8_CH3","","","","","","","SAI2_FS_A","","FMC_D29"
"C3","PI6","I/O","SAI2_SD_A","SAI2_SD_A [WM8994ECS_DACDAT1]","","","","TIM8_CH2","","","","","","","SAI2_SD_A","","FMC_D28"
"C4","PI5","I/O","SAI2_SCK_A","SAI2_SCK_A [WM8994ECS_BCLK1]","","","","TIM8_CH1","","","","","","","SAI2_SCK_A","","FMC_NBL3"
"C5","VDD","Power","","","","","","","","","","","","","","",""
"C6","PDR_ON","Reset","","","","","","","","","","","","","","",""
"C7","VDD","Power","","","","","","","","","","","","","","",""
"C8","VDDSDMMC","Power","","","","","","","","","","","","","","",""
"C9","VDD","Power","","","","","","","","","","","","","","",""
"C10","PG9","I/O","FMC_NE2","LCD_NE [FRD154BP2902_NCS]","","","","","","","","","USART6_RX","QUADSPI_BK2_IO2","SAI2_FS_B","SDMMC2_D0","FMC_NCE/FMC_NE2"
"C11","PD5","I/O","FMC_NWE","LCD_PSRAM_NWE [FRD154BP2902_NWR] [IS66WV51216EBLL_NWE]","","","","","","","","USART2_TX","","","","","FMC_NWE"
"C12","PD1","I/O","FMC_D3","LCD_PSRAM_D3","","","","","","","","","","CAN1_TX","","","FMC_D3/FMC_DA3"
"C13","PI3","Output","GPIO_Output","PMOD_SPI2_MOSI","","","","TIM8_ETR","","I2S2_SD/SPI2_MOSI","","","","","","","FMC_D27"
"C14","PI2","Output","GPIO_Output","PMOD_SPI2_MISO","","","","TIM8_CH4","","SPI2_MISO","","","","","","","FMC_D26"
"C15","PA11","I/O","USB_OTG_FS_DM","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","",""
"D1","PC13","I/O","","","","","","","","","","","","","","",""
"D2","PI8","I/O","","","","","","","","","","","","","","",""
"D3","PI9","I/O","GPIO_EXTI9","CTP_INT","","","","","","","","","UART4_RX","CAN1_RX","","","FMC_D30"
"D4","PI4","I/O","SAI2_MCLK_A","SAI2_MCLK_A [WM8994ECS_MCLK1]","","","","TIM8_BKIN","","","","","","","SAI2_MCLK_A","","FMC_NBL2"
"D5","VSS","Power","","","","","","","","","","","","","","",""
"D6","BOOT0","Boot","","","","","","","","","","","","","","",""
"D7","VSS","Power","","","","","","","","","","","","","","",""
"D8","VSS","Power","","","","","","","","","","","","","","",""
"D9","VSS","Power","","","","","","","","","","","","","","",""
"D10","PD4","I/O","FMC_NOE","LCD_PSRAM_NOE [FRD154BP2902_NRD] [IS66WV51216EBLL_NOE]","","","","","","","","USART2_DE/USART2_RTS","","","","","FMC_NOE"
"D11","PD3","Output","GPIO_Output","WIFI_CH_PD","","","","","","I2S2_CK/SPI2_SCK","","USART2_CTS","","","","","FMC_CLK"
"D12","PD2","I/O","UART5_RX","UART_RXD_WIFI_TX","SYS_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDMMC1_CMD"
"D13","PH15","Output","GPIO_Output","PMOD_SEL_0","","","","TIM8_CH3N","","","","","","","","","FMC_D23"
"D14","PI1","I/O","SPI2_SCK","PMOD_SPI2_SCK","","","","TIM8_BKIN2","","I2S2_CK/SPI2_SCK","","","","","","","FMC_D25"
"D15","PA10","Output","GPIO_Output","USB_OTG_FS_ID","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","",""
"E1","PC14-OSC32_IN","I/O","RCC_OSC32_IN","","","","","","","","","","","","","",""
"E2","PF0","I/O","FMC_A0","LCD_PSRAM_A0 [FRD154BP2902_RS] [IS66WV51216EBLL_A0]","","","","","I2C2_SDA","","","","","","","","FMC_A0"
"E3","PI10","Output","GPIO_Output","","","","","","","","","","","","","","FMC_D31"
"E4","PI11","I/O","","","","","","","","","","","","","","",""
"E12","PH13","I/O","UART4_TX","STMOD_UART4_TXD","","","","TIM8_CH1N","","","","","UART4_TX","CAN1_TX","","","FMC_D21"
