"Position","Name","Type","Signal","Label"
"A1","PE4","I/O","",""
"A2","PE3","I/O","",""
"A3","PE2","I/O","",""
"A4","PG14","I/O","ETH_TXD1","MII_TXD1"
"A5","PE1","I/O","UART8_TX","TMPH4_PE1_TXD8"
"A6","PE0","I/O","UART8_RX","TMPH4_PE0_RXD8"
"A7","PB8","I/O","ETH_TXD3","MII_TXD3"
"A8","PB5","I/O","",""
"A9","PB4","I/O","SYS_JTRST","JTAG_NTRST"
"A10","PB3","I/O","SYS_JTDO-SWO","JTAG_TDO_TRACE_SWO"
"A11","PD7","I/O","",""
"A12","PC12","I/O","UART5_TX","TMPH1_PC12_TXD5"
"A13","PA15","I/O","SYS_JTDI","JTAG_TDI"
"A14","PA14","I/O","SYS_JTCK-SWCLK","JTAG_TCK_SW_CLK"
"A15","PA13","I/O","SYS_JTMS-SWDIO","JTAG_TMS_SW_DIO"
"B1","PE5","I/O","",""
"B2","PE6","I/O","",""
"B3","PG13","I/O","ETH_TXD0","MII_TXD0"
"B4","PB9","I/O","",""
"B5","PB7","I/O","",""
"B6","PB6","I/O","",""
"B7","PG15","I/O","GPIO_Analog","TMPH4_PG15"
"B8","PG11","Output","GPIO_Output","USER_LED1"
"B9","PJ13","I/O","",""
"B10","PJ12","I/O","",""
"B11","PD6","I/O","",""
"B12","PD0","I/O","UART4_RX","TMPH1_PD0_RXD4"
"B13","PC11","I/O","USART3_RX","TMPH1_PC11_RXD3"
"B14","PC10","I/O","USART3_TX","TMPH1_PC10_TXD3"
"B15","PA12","I/O","USB_OTG_FS_DP","USB_DEV_DP"
"C1","VBAT","Power","",""
"C2","PI8","I/O","",""
"C3","PI4","I/O","GPIO_Analog","TMPH4_PI4"
"C4","PK7","I/O","",""
"C5","PK6","I/O","",""
"C6","PK5","I/O","",""
"C7","PG12","Output","GPIO_Output","USER_LED2"
"C8","PG10","I/O","",""
"C9","PJ14","I/O","",""
"C10","PD5","I/O","",""
"C11","PD3","I/O","GPIO_Analog","TMPH1_PD3"
"C12","PD1","I/O","UART4_TX","TMPH1_PD1_TXD4"
"C13","PI3","I/O","GPIO_Analog","TMPH1_PI3"
"C14","PI2","I/O","TIM8_CH4","TMPH1_PI2_PWM84"
"C15","PA11","I/O","USB_OTG_FS_DM","USB_DEV_DM"
"D1","PC13","I/O","",""
"D2","PF0","I/O","I2C2_SDA","SDA2"
"D3","PI5","I/O","TIM8_CH1","TMPH4_PI5_PWM81"
"D4","PI7","I/O","TIM8_CH3","TMPH4_PI7_PWM83"
"D5","PI10","I/O","ETH_RX_ER","MII_RXER"
"D6","PI6","I/O","TIM8_CH2","TMPH4_PI6_PWM82"
"D7","PK4","I/O","",""
"D8","PK3","I/O","",""
"D9","PG9","I/O","",""
"D10","PJ15","I/O","",""
"D11","PD4","I/O","GPIO_Analog","TMPH1_PD4"
"D12","PD2","I/O","UART5_RX","TMPH1_PD2_RXD5"
"D13","PH15","Output","GPIO_Output","CAN_M1"
"D14","PI1","I/O","GPIO_Analog","TMPH2_PI1"
"D15","PA10","I/O","GPIO_Analog","TMPH1_PA10"
"E1","PC14/OSC32_IN","I/O","RCC_OSC32_IN","OSC32K_IN"
"E2","PF1","I/O","I2C2_SCL","SCL2"
"E3","PI12","I/O","GPIO_Analog","TMPH4_PI12"
"E4","PI9","I/O","GPIO_Analog","TMPH1_PI9"
"E5","PDR_ON","Reset","",""
"E6","BOOT0","Boot","",""
"E7","VDD","Power","",""
"E8","VDD","Power","",""
"E9","VDDSDMMC","Power","",""
"E10","VDD","Power","",""
"E11","VCAP_2","Power","",""
"E12","PH13","I/O","CAN1_TX","CAN_TX1"
"E13","PH14","I/O","CAN1_RX","CAN_RX1"
"E14","PI0","I/O","GPIO_Analog","TMPH2_PI0"
"E15","PA9","I/O","GPIO_Analog","TMPH2_PA9"
"F1","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT",""
"F2","VSS","Power","",""
"F3","PI11","I/O","",""
"F4","VDD","Power","",""
"F5","VDD","Power","",""
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VSS","Power","",""
"F9","VSS","Power","",""
"F10","VSS","Power","",""
"F11","VDD","Power","",""
"F12","PK1","I/O","",""
"F13","PK2","I/O","",""
"F14","PC9","Output","GPIO_Output","CAN_M2"
"F15","PA8","I/O","",""
"G1","PH0/OSC_IN","I/O","RCC_OSC_IN","OSC25M_IN"
"G2","PF2","I/O","GPIO_Analog","TMPH4_PF2"
"G3","PI13","I/O","GPIO_Analog","TMPH4_PI13"
"G4","PI15","I/O","GPIO_Analog","TMPH2_PI15"
"G5","VDD","Power","",""
"G6","VSS","Power","",""
"G10","VSS","Power","",""
"G11","VDDUSB","Power","",""
"G12","PJ11","I/O","",""
"G13","PK0","I/O","",""
"G14","PC8","I/O","",""
"G15","PC7","Output","GPIO_Output","MII_NRST"
"H1","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"H2","PF3","I/O","GPIO_Analog ADC3_IN9","TMPH4_PF3_ADC39"
"H3","PI14","I/O","GPIO_Analog","TMPH4_PI14"
"H4","PH4","I/O","",""
"H5","VDD","Power","",""
"H6","VSS","Power","",""
"H10","VSS","Power","",""
"H11","VDD","Power","",""
"H12","PJ8","I/O","",""
"H13","PJ10","I/O","",""
"H14","PG8","I/O","GPIO_Analog","TMPH2_PG8"
"H15","PC6","I/O","GPIO_EXTI6","MII_INTRP"
"J1","NRST","Reset","",""
"J2","PF4","I/O","GPIO_Analog ADC3_IN14","TMPH2_PF4_ADC314"
"J3","PH5","I/O","SPI5_NSS","TMPH2_PH5_NSS5"
"J4","PH3","I/O","GPIO_Analog","TMPH2_PH3"
"J5","VDD","Power","",""
"J6","VSS","Power","",""
"J10","VSS","Power","",""
"J11","VDD","Power","",""
"J12","PJ7","I/O","",""
"J13","PJ9","I/O","",""
"J14","PG7","I/O","",""
"J15","PG6","I/O","",""
"K1","PF7","I/O","",""
"K2","PF6","I/O","",""
"K3","PF5","I/O","GPIO_Analog ADC3_IN15","TMPH2_PF5_ADC315"
"K4","PH2","I/O","GPIO_Analog","TMPH3_PH2"
"K5","VDD","Power","",""
"K6","VSS","Power","",""
"K7","VSS","Power","",""
"K8","VSS","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
"K11","VDD","Power","",""
"K12","PJ6","I/O","",""
"K13","PD15","I/O","UART8_RTS","TMPH2_PD15_RTS8"
"K14","PB13","I/O","CAN2_TX","CAN_TX2"
"K15","PD10","I/O","GPIO_Analog","TMPH2_PD10"
"L1","PF10","I/O","",""
"L2","PF9","I/O","",""
"L3","PF8","I/O","",""
"L4","PC3","I/O","ETH_TX_CLK","MII_TXC"
"L5","BYPASS_REG","Reset","",""
"L6","VSS","Power","",""
"L7","VDD","Power","",""
"L8","VDD","Power","",""
"L9","VDD","Power","",""
"L10","VDD","Power","",""
"L11","VCAP_1","Power","",""
