starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 04 08:55:47 2024	1709538947	0	4	4	1
Mon Mar 04 08:55:47 2024	1709538947	1	5	7	0
Mon Mar 04 08:55:47 2024	1709538947	2	6	8	0
Mon Mar 04 08:55:47 2024	1709538947	2	7	9	0
Mon Mar 04 08:55:47 2024	1709538947	3	8	10	0
Mon Mar 04 08:55:47 2024	1709538947	3	9	12	0
Mon Mar 04 08:55:47 2024	1709538947	7	6	13	0
Mon Mar 04 08:55:47 2024	1709538947	6	7	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	7	14	0
Mon Mar 04 08:55:47 2024	1709538947	4	10	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	6	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	6	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	6	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	7	14	0
Mon Mar 04 08:55:47 2024	1709538947	6	8	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	7	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	7	14	0
Mon Mar 04 08:55:47 2024	1709538947	6	8	14	0
Mon Mar 04 08:55:47 2024	1709538947	8	6	14	0
Mon Mar 04 08:55:47 2024	1709538947	7	8	15	0
Mon Mar 04 08:55:47 2024	1709538947	7	7	15	0
Mon Mar 04 08:55:47 2024	1709538947	7	8	15	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	15	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	0	16	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	7	9	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	9	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	8	16	0
Mon Mar 04 08:55:47 2024	1709538947	8	9	17	0
Mon Mar 04 08:55:47 2024	1709538947	8	9	17	0
Mon Mar 04 08:55:47 2024	1709538947	8	13	21	8
Mon Mar 04 08:55:47 2024	1709538947	8	15	23	9
Mon Mar 04 08:55:47 2024	1709538947	9	16	25	8
Mon Mar 04 08:55:47 2024	1709538947	8	18	26	8
Mon Mar 04 08:55:47 2024	1709538947	7	20	27	9
Mon Mar 04 08:55:47 2024	1709538947	6	22	28	8
Mon Mar 04 08:55:47 2024	1709538947	7	22	28	8
Mon Mar 04 08:55:47 2024	1709538947	8	20	29	7
Mon Mar 04 08:55:47 2024	1709538947	5	23	29	8
Mon Mar 04 08:55:47 2024	1709538947	7	22	29	8
Mon Mar 04 08:55:47 2024	1709538947	7	22	29	7
Mon Mar 04 08:55:47 2024	1709538947	7	22	29	9
Mon Mar 04 08:55:47 2024	1709538947	6	23	29	9
Mon Mar 04 08:55:47 2024	1709538947	6	23	29	8
Mon Mar 04 08:55:47 2024	1709538947	8	21	29	8
Mon Mar 04 08:55:47 2024	1709538947	8	21	29	9
Mon Mar 04 08:55:47 2024	1709538947	6	23	29	9
Mon Mar 04 08:55:47 2024	1709538947	7	23	29	7
Mon Mar 04 08:55:47 2024	1709538947	7	22	30	9
Mon Mar 04 08:55:47 2024	1709538947	7	22	30	9
Mon Mar 04 08:55:47 2024	1709538947	6	23	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	9
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	8
Mon Mar 04 08:55:47 2024	1709538947	7	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	9	21	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	7
Mon Mar 04 08:55:47 2024	1709538947	7	22	30	7
Mon Mar 04 08:55:47 2024	1709538947	7	22	30	9
Mon Mar 04 08:55:47 2024	1709538947	9	21	30	8
Mon Mar 04 08:55:47 2024	1709538947	9	21	30	8
Mon Mar 04 08:55:47 2024	1709538947	6	23	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	9
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	7
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	7
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	7
Mon Mar 04 08:55:47 2024	1709538947	9	21	30	7
Mon Mar 04 08:55:47 2024	1709538947	6	24	30	9
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	7
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	8
Mon Mar 04 08:55:47 2024	1709538947	7	23	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	9
Mon Mar 04 08:55:47 2024	1709538947	9	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	30	8
Mon Mar 04 08:55:47 2024	1709538947	8	22	31	9
Mon Mar 04 08:55:47 2024	1709538947	7	23	31	9
Mon Mar 04 08:55:47 2024	1709538947	9	24	32	10
Mon Mar 04 08:55:47 2024	1709538947	108	6	113	0
Mon Mar 04 08:55:47 2024	1709538947	108	5	113	0
Mon Mar 04 08:55:47 2024	1709538947	109	5	114	0
Mon Mar 04 08:55:47 2024	1709538947	109	5	115	0
Mon Mar 04 08:55:47 2024	1709538947	110	6	115	0
Mon Mar 04 08:55:47 2024	1709538947	8	108	116	0
Mon Mar 04 08:55:47 2024	1709538947	1	120	121	6
Mon Mar 04 08:55:47 2024	1709538947	1	121	122	6
Mon Mar 04 08:55:47 2024	1709538947	2	121	123	7
Mon Mar 04 08:55:47 2024	1709538947	2	121	123	8
Mon Mar 04 08:55:47 2024	1709538947	3	121	125	9
Mon Mar 04 08:55:47 2024	1709538947	4	122	126	10
Mon Mar 04 08:55:47 2024	1709538947	107	23	130	6
Mon Mar 04 08:55:47 2024	1709538947	4	137	141	121
