"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","GPIO_Analog","EXTIO2_DIO0"
"3","PE4","I/O","GPIO_Analog","EXTIO3_DIO1"
"4","PE5","I/O","GPIO_Analog","EXTIO4_DIO2"
"5","PE6","I/O","GPIO_Analog","EXTIO5_DIO3"
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN","I/O","",""
"9","PC15-OSC32_OUT","I/O","",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0-OSC_IN","I/O","RCC_OSC_IN","OSC_IN"
"13","PH1-OSC_OUT","I/O","RCC_OSC_OUT","OSC_OUT"
"14","NRST","Reset","",""
"15","PC0","I/O","GPIO_EXTI0","IF6_ID_CH0"
"16","PC1","I/O","GPIO_EXTI1","IF7_ID_CH1"
"17","PC2","I/O","ADC1_IN12","VM_MEAS"
"18","PC3","I/O","",""
"19","VDD","Power","",""
"20","VSSA","Power","",""
"21","VREF+","Power","",""
"22","VDDA","Power","",""
"23","PA0-WKUP","I/O","TIM2_CH1","IF8_DIO0_TIM2CH1"
"24","PA1","I/O","TIM2_CH2","IF9_DIO0_TIM2CH2"
"25","PA2","I/O","TIM2_CH3","IF10_DIO0_TIM2CH3"
"26","PA3","I/O","TIM2_CH4","IF11_DIO0_TIM2CH4"
"27","VSS","Power","",""
"28","VDD","Power","",""
"29","PA4","I/O","DAC_OUT1","IF12_DIO4_DACOUT1"
"30","PA5","I/O","DAC_OUT2","IF13_DIO5_DACOUT2"
"31","PA6","I/O","",""
"32","PA7","I/O","ADC1_IN7","IF14_AIN0_MEAS"
"33","PC4","I/O","ADC1_IN14","EXTIO6_AIN0"
"34","PC5","I/O","ADC1_IN15","EXTIO7_AIN1"
"35","PB0","I/O","ADC1_IN8","IF15_AIN1_MEAS"
"36","PB1","I/O","ADC1_IN9","IF16_AIN2_MEAS"
"37","PB2","I/O","",""
"38","PE7","I/O","",""
"39","PE8","I/O","TIM1_CH1N","IF17_DIO6_TIM1CH1N"
"40","PE9","I/O","TIM1_CH1","IF18_DIO7_TIM1CH1"
"41","PE10","I/O","TIM1_CH2N","IF19_DIO8_TIM1CH2N"
"42","PE11","I/O","TIM1_CH2","IF20_DIO9_TIM1CH2"
"43","PE12","I/O","TIM1_CH3N","IF21_DIO10_TIM1CH3N"
"44","PE13","I/O","TIM1_CH3","IF22_DIO11_TIM1CH3"
"45","PE14","I/O","",""
"46","PE15","Output","GPIO_Output","IF24_SPI2_CSN0"
"47","PB10","I/O","",""
"48","PB11","Output","GPIO_Output","IF25_SPI2_CSN1"
"49","VCAP_1","Power","",""
"50","VDD","Power","",""
"51","PB12","Output","GPIO_Output","IF26_SPI2_CSN2"
"52","PB13","I/O","SPI2_SCK","IF27_SPI2_SCK"
"53","PB14","I/O","SPI2_MISO","IF28_SPI2_SDO"
"54","PB15","I/O","SPI2_MOSI","IF29_SPI2_SDI"
"55","PD8","I/O","USART3_TX","WIRELESS_RX"
"56","PD9","I/O","USART3_RX","WIRELESS_TX"
"57","PD10","I/O","",""
"58","PD11","I/O","",""
"59","PD12","I/O","",""
"60","PD13","I/O","",""
"61","PD14","I/O","",""
"62","PD15","I/O","",""
"63","PC6","I/O","USART6_TX","RS232_TX"
"64","PC7","I/O","USART6_RX","RS232_RX"
"65","PC8","I/O","",""
"66","PC9","I/O","RCC_MCO_2","IF4_ID_CLK"
"67","PA8","I/O","RCC_MCO_1","IF23_CLK16"
"68","PA9","I/O","USB_OTG_FS_VBUS","V_USB"
"69","PA10","I/O","",""
"70","PA11","I/O","USB_OTG_FS_DM","USB_DM"
"71","PA12","I/O","USB_OTG_FS_DP","USB_DP"
"72","PA13","I/O","",""
"73","VCAP_2","Power","",""
"74","VSS","Power","",""
"75","VDD","Power","",""
"76","PA14","I/O","",""
"77","PA15","Output","GPIO_Output","IF30_SPI1_CSN"
"78","PC10","I/O","SPI3_SCK","IF31_SPI1_SCK"
"79","PC11","I/O","SPI3_MISO","IF33_SPI1_SDO"
"80","PC12","I/O","SPI3_MOSI","IF32_SPI1_SDI"
"81","PD0","I/O","CAN1_RX","IF34_DIO12_CAN_RX"
"82","PD1","I/O","CAN1_TX","IF35_DIO13_CAN_TX"
"83","PD2","I/O","GPIO_Analog","IF36_DIO14"
"84","PD3","I/O","USART2_CTS","IF37_DIO15_USART_CTS"
"85","PD4","I/O","USART2_RTS","IF38_DIO16_USART_RTS"
"86","PD5","I/O","USART2_TX","IF39_DIO17_USART_TX"
"87","PD6","I/O","USART2_RX","IF40_DIO18_USART_RX"
"88","PD7","I/O","USART2_CK","IF41_DIO19_USART_CK"
"89","PB3","I/O","SPI1_SCK","SPI3_SCK"
"90","PB4","I/O","SPI1_MISO","SPI3_MISO"
"91","PB5","I/O","SPI1_MOSI","SPI3_MOSI"
"92","PB6","Output","GPIO_Output","SPI3_CSN"
"93","PB7","I/O","",""
"94","BOOT0","Boot","",""
"95","PB8","I/O","",""
"96","PB9","I/O","",""
"97","PE0","Output","GPIO_Output","STATUS_GREEN_LED"
"98","PE1","Output","GPIO_Output","ERROR_RED_LED"
"99","RFU","Power","",""
"100","VDD","Power","",""
