"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","","","","","","","","FSMC_A23"
"2","PE3","I/O","GPIO_Analog","EXTIO2_DIO0","SYS_TRACED0","","","","","","","","","","","","FSMC_A19"
"3","PE4","I/O","GPIO_Analog","EXTIO3_DIO1","SYS_TRACED1","","","","","","","","","","","","FSMC_A20"
"4","PE5","I/O","GPIO_Analog","EXTIO4_DIO2","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","FSMC_A21"
"5","PE6","I/O","GPIO_Analog","EXTIO5_DIO3","SYS_TRACED3","","","TIM9_CH2","","","","","","","","","FSMC_A22"
"6","VBAT","Power","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","RTC_AF1","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN","I/O","RCC_OSC_IN","OSC_IN","RCC_OSC_IN","","","","","","","","","","","",""
"13","PH1-OSC_OUT","I/O","RCC_OSC_OUT","OSC_OUT","RCC_OSC_OUT","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","",""
"15","PC0","I/O","GPIO_EXTI0","IF6_ID_CH0","","","","","","","","","","","USB_OTG_HS_ULPI_STP","",""
"16","PC1","I/O","GPIO_EXTI1","IF7_ID_CH1","","","","","","","","","","","","",""
"17","PC2","I/O","ADC1_IN12","VM_MEAS","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","",""
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","",""
"19","VDD","Power","","","","","","","","","","","","","","",""
"20","VSSA","Power","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","",""
"23","PA0-WKUP","I/O","TIM2_CH1","IF8_DIO0_TIM2CH1","SYS_WKUP","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","",""
"24","PA1","I/O","TIM2_CH2","IF9_DIO0_TIM2CH2","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","",""
"25","PA2","I/O","TIM2_CH3","IF10_DIO0_TIM2CH3","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","",""
"26","PA3","I/O","TIM2_CH4","IF11_DIO0_TIM2CH4","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","",""
"27","VSS","Power","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","",""
"29","PA4","I/O","DAC_OUT1","IF12_DIO4_DACOUT1","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF"
"30","PA5","I/O","DAC_OUT2","IF13_DIO5_DACOUT2","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","",""
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","",""
"32","PA7","I/O","ADC1_IN7","IF14_AIN0_MEAS","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","",""
"33","PC4","I/O","ADC1_IN14","EXTIO6_AIN0","","","","","","","","","","","","",""
"34","PC5","I/O","ADC1_IN15","EXTIO7_AIN1","","","","","","","","","","","","",""
"35","PB0","I/O","ADC1_IN8","IF15_AIN1_MEAS","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","","","USB_OTG_HS_ULPI_D1","",""
"36","PB1","I/O","ADC1_IN9","IF16_AIN2_MEAS","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","",""
"37","PB2","I/O","","","","","","","","","","","","","","",""
"38","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","","FSMC_D4/FSMC_DA4"
"39","PE8","I/O","TIM1_CH1N","IF17_DIO6_TIM1CH1N","","TIM1_CH1N","","","","","","","","","","","FSMC_D5/FSMC_DA5"
"40","PE9","I/O","TIM1_CH1","IF18_DIO7_TIM1CH1","","TIM1_CH1","","","","","","","","","","","FSMC_D6/FSMC_DA6"
"41","PE10","I/O","TIM1_CH2N","IF19_DIO8_TIM1CH2N","","TIM1_CH2N","","","","","","","","","","","FSMC_D7/FSMC_DA7"
"42","PE11","I/O","TIM1_CH2","IF20_DIO9_TIM1CH2","","TIM1_CH2","","","","","","","","","","","FSMC_D8/FSMC_DA8"
"43","PE12","I/O","TIM1_CH3N","IF21_DIO10_TIM1CH3N","","TIM1_CH3N","","","","","","","","","","","FSMC_D9/FSMC_DA9"
"44","PE13","I/O","TIM1_CH3","IF22_DIO11_TIM1CH3","","TIM1_CH3","","","","","","","","","","","FSMC_D10/FSMC_DA10"
"45","PE14","I/O","","","","TIM1_CH4","","","","","","","","","","","FSMC_D11/FSMC_DA11"
"46","PE15","Output","GPIO_Output","IF24_SPI2_CSN0","","TIM1_BKIN","","","","","","","","","","","FSMC_D12/FSMC_DA12"
