starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:32 2024	1730838092	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:18 2024	1730838078	2	1	3	0
Tue Nov 05 21:21:07 2024	1730838067	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:33 2024	1730838093	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:20 2024	1730838080	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	2	3	0
Tue Nov 05 21:21:33 2024	1730838093	2	1	3	0
Tue Nov 05 21:21:33 2024	1730838093	2	1	3	0
Tue Nov 05 21:21:33 2024	1730838093	2	1	3	0
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:20 2024	1730838080	2	1	3	0
Tue Nov 05 21:21:22 2024	1730838082	2	1	3	0
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:49 2024	1730838109	2	1	3	0
Tue Nov 05 21:21:30 2024	1730838090	2	1	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	1	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	2	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	2	3	0
Tue Nov 05 21:21:39 2024	1730838099	2	1	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	2	3	0
Tue Nov 05 21:21:49 2024	1730838109	2	2	3	0
Tue Nov 05 21:21:13 2024	1730838073	2	2	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	2	3	0
Tue Nov 05 21:21:37 2024	1730838097	2	2	3	0
Tue Nov 05 21:21:13 2024	1730838073	2	2	3	0
Tue Nov 05 21:21:46 2024	1730838106	2	1	3	0
Tue Nov 05 21:21:57 2024	1730838117	2	1	3	0
Tue Nov 05 21:21:20 2024	1730838080	3	1	4	0
Tue Nov 05 21:21:30 2024	1730838090	3	1	4	0
Tue Nov 05 21:21:32 2024	1730838092	2	2	4	0
Tue Nov 05 21:21:20 2024	1730838080	2	2	4	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	4	0
Tue Nov 05 21:21:03 2024	1730838063	2	2	4	0
Tue Nov 05 21:21:49 2024	1730838109	2	2	4	0
Tue Nov 05 21:21:33 2024	1730838093	2	2	4	0
Tue Nov 05 21:21:39 2024	1730838099	2	2	4	0
Tue Nov 05 21:21:46 2024	1730838106	3	1	4	0
Tue Nov 05 21:21:18 2024	1730838078	3	1	4	0
Tue Nov 05 21:21:30 2024	1730838090	3	1	4	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	4	0
Tue Nov 05 21:21:31 2024	1730838091	2	2	4	0
Tue Nov 05 21:21:37 2024	1730838097	2	2	4	0
Tue Nov 05 21:21:18 2024	1730838078	3	1	4	0
