# Device tree binding vendor prefix registry. Keep this list in
# alphabetical order.
#
# This isn't an exhaustive list, but you should add new prefixes to it
# before using them to avoid name-space collisions.
#
# The contents of this file are parsed during documentation generation.
# Anything that starts with a '#' is treated as a comment and ignored.
# Non-empty lines should be in this format:
#
# <vendor-prefix><TAB><Full name of vendor>

# Some entries below are PSEUDO-vendors, in the same sense as upstream's own
# `zephyr` and `vnd` entries: they name a compatible NAMESPACE, not a company.
# `socket` is one. A rig connector is declared board-side as a node whose
# compatible is `socket,<connector>`; gen_edt merges the vendor-prefixes.txt
# of every DTS_ROOT, so registering the prefix here is what stops it
# rejecting those nodes under --edtlib-Werror.

# zephyr-keep-sorted-start
adafruit	Adafruit Industries, LLC
cjmcu	Changjiang Intelligent Technology Co., Ltd.
cytron	Cytron Technologies
dfrobot	DFRobot Corporation
digilent	Digilent, Inc.
geeekpi	52Pi (GeeekPi) Information Technology., Ltd.
jsed	Jan Schulz Elektronik & Didaktik
nologo	NologoTech (No Name Technology)
nxp	NXP Semiconductors N.V.
pimoroni	Pimoroni Ltd.
raspberrypi	Raspberry Pi Foundation
seeed	Seeed Technology Co., Ltd
sensortek	Sensortek Technology Corporation
socket	Rig connector model — board-side typed socket
sparkfun	SparkFun Electronics, Inc.
spotpear	Spotpear Electronics Co., Ltd.
st	STMicroelectronics N.V.
tiac	TiaC Systems
vccgnd	VccGND Studio (Source Instrument and Equipment)
waveshare	Waveshare Electronics Co., Ltd.
weact	WeAct Studio (WeiXing Electronic Store)
# zephyr-keep-sorted-stop
